"Proceed to Checkout","কিনুন"
"Support","সহায়তা"
"Buy","ক্রয়"
"Sign in","সাইন ইন"
"About","আমাদের সম্পর্কে"
"Contact","যোগাযোগ"
"Warranty","নির্ভরপত্র"
"Payment","টাকা প্রদান"
"Return","প্রত্যাবর্তন"
"Shipment Policy","চালান নীতি"
"Register","নিবন্ধন"
"Product Name","পণ্যের নাম"
"Shopping Cart", "শপিং তালিকা"
"Enter your coupon code if you have one.","আপনার কুপন কোড লিখুন, যদি থাকে"
"Apply Coupon","কুপন প্রয়োগ"
"Discount Codes","ডিসকাউন্ট কোড"
"Grand Total","সর্বমোট"
"Subtotal","উপমোট"
"Checkout as Guest","নিবন্ধন ছাড়া কিনুন"
"Register with us for future convenience:","ভবিষ্যতে সুবিধার জন্য আমাদের সাথে নিবন্ধিত করুন:"
"Fast and easy check out","দ্রুত এবং সহজ চেকআউট"
"Easy access to your order history and status","আপনার অর্ডার ইতিহাস এবং অবস্থা সহজে এক্সেস"
"Please log in below:","লগ ইন করুন:"
"Already registered?","ইতিমধ্যে নিবন্ধিত?"
"Forgot your password?","পাসওয়ার্ড ভুলে গেছেন?"
"Register and save time!","নিবন্ধন এবং সময় সংরক্ষণ করুন!"
"Password","পাসওয়ার্ড"
"Email Address","ইমেইল"
"* Required Fields","* আবশ্যক"
"Login","লগইন"
"Logout","লগআউট"
"Checkout as a Guest or Register", "নিবন্ধন ছাড়া কিনুন অথবা নিবন্ধন করে কিনুন"
"Checkout Method","চেকআউট পদ্ধতি"